food_name,category,food_group,serving_unit,calories_per_serving,serving_weight_g
Plain Roti / Chapati,Veg,Staple,1 medium roti,100,40
Tandoori Roti,Veg,Staple,1 roti,120,50
Butter Naan,Veg,Staple,1 naan,300,90
Plain Paratha,Veg,Staple,1 paratha,180,80
Aloo Paratha,Veg,Staple,1 paratha,290,110
Gobi Paratha,Veg,Staple,1 paratha,270,110
Puri,Veg,Staple,1 puri,110,30
Bhatura,Veg,Staple,1 bhatura,230,90
Steamed Rice,Veg,Staple,1 cup (150 g),200,150
Jeera Rice,Veg,Staple,1 cup,250,150
Veg Pulao,Veg,Staple,1 cup,220,150
Veg Biryani,Veg,Staple,1 cup,240,150
Chicken Biryani,Non-Veg,Staple,1 cup,290,150
Mutton Biryani,Non-Veg,Staple,1 cup,320,150
Egg Biryani,Non-Veg,Staple,1 cup,260,150
Khichdi,Veg,Staple,1 cup,200,150
Curd Rice,Veg,Staple,1 cup,220,150
Lemon Rice,Veg,Staple,1 cup,250,150
Sabudana Khichdi,Veg,Staple,1 cup,280,150
Plain Dosa,Veg,Breakfast,1 dosa,170,90
Masala Dosa,Veg,Breakfast,1 dosa,270,160
Idli,Veg,Breakfast,1 idli,60,50
Medu Vada,Veg,Breakfast,1 vada,100,45
Uttapam,Veg,Breakfast,1 uttapam,200,130
Upma,Veg,Breakfast,1 cup,210,150
Poha,Veg,Breakfast,1 cup,180,150
Oats Porridge,Veg,Breakfast,1 bowl,170,200
Cornflakes with Milk,Veg,Breakfast,1 bowl,200,200
Bread Slice,Veg,Breakfast,1 slice,70,25
Peanut Butter,Veg,Breakfast,1 tbsp,95,15
Sprouts Salad,Veg,Breakfast,1 cup,120,150
Dal Tadka,Veg,Curry,1 cup,180,150
Dal Makhani,Veg,Curry,1 cup,280,150
Chana Masala,Veg,Curry,1 cup,240,150
Rajma Masala,Veg,Curry,1 cup,230,150
Sambar,Veg,Curry,1 cup,130,150
Kadhi Pakora,Veg,Curry,1 cup,210,150
Palak Paneer,Veg,Curry,1 cup,260,150
Paneer Butter Masala,Veg,Curry,1 cup,340,150
Kadai Paneer,Veg,Curry,1 cup,300,150
Malai Kofta,Veg,Curry,1 cup,250,150
Mushroom Masala,Veg,Curry,1 cup,190,150
Aloo Gobi,Veg,Curry,1 cup,150,150
Bhindi Masala,Veg,Curry,1 cup,130,150
Baingan Bharta,Veg,Curry,1 cup,160,150
Mix Veg Curry,Veg,Curry,1 cup,170,150
Chicken Curry,Non-Veg,Curry,1 cup,280,150
Butter Chicken,Non-Veg,Curry,1 cup,380,150
Chicken Tikka,Non-Veg,Curry,6 pieces,260,120
Tandoori Chicken,Non-Veg,Curry,2 pieces,260,250
Chicken 65,Non-Veg,Curry,1 cup,300,150
Fish Curry,Non-Veg,Curry,1 cup,230,150
Fish Fry,Non-Veg,Curry,1 piece,200,100
Prawn Curry,Non-Veg,Curry,1 cup,240,150
Mutton Curry,Non-Veg,Curry,1 cup,320,150
Mutton Keema,Non-Veg,Curry,1 cup,350,150
Egg Curry,Non-Veg,Curry,1 cup (2 eggs),240,150
Boiled Egg,Non-Veg,Curry,1 egg,78,50
Omelette,Non-Veg,Breakfast,2 eggs,180,110
Egg Bhurji,Non-Veg,Breakfast,2 eggs,200,120
Samosa,Veg,Snack,1 samosa,260,100
Kachori,Veg,Snack,1 kachori,190,60
Pakora,Veg,Snack,6 pieces,280,120
Vada Pav,Veg,Snack,1 vada pav,290,130
Pav Bhaji,Veg,Snack,1 plate,400,300
Chole Bhature,Veg,Snack,1 plate,450,300
Dhokla,Veg,Snack,2 pieces,120,100
Pani Puri,Veg,Snack,6 puris,180,120
Bhel Puri,Veg,Snack,1 plate,230,300
Sev Puri,Veg,Snack,6 pieces,220,130
Veg Momos,Veg,Snack,6 momos,210,150
Chicken Momos,Non-Veg,Snack,6 momos,250,160
Spring Roll,Veg,Snack,1 roll,150,80
Veg Sandwich,Veg,Snack,1 sandwich,200,130
Maggi Noodles,Veg,Snack,1 pack cooked,350,300
Chivda,Veg,Snack,1 small bowl (30 g),150,30
Roasted Chana,Veg,Snack,1 handful (30 g),110,30
Gulab Jamun,Veg,Sweet,1 piece,150,50
Rasgulla,Veg,Sweet,1 piece,120,50
Jalebi,Veg,Sweet,2 pieces (50 g),200,50
Kheer,Veg,Sweet,1 cup,250,150
Gajar Halwa,Veg,Sweet,0.5 cup,250,75
Besan Ladoo,Veg,Sweet,1 ladoo,180,40
Kaju Katli,Veg,Sweet,1 piece,90,20
Rasmalai,Veg,Sweet,1 piece,180,80
Full-Fat Milk,Veg,Dairy,1 cup (250 ml),150,250
Toned Milk,Veg,Dairy,1 cup (250 ml),120,250
Curd / Dahi,Veg,Dairy,1 cup,100,150
Buttermilk / Chaas,Veg,Dairy,1 glass,40,250
Sweet Lassi,Veg,Dairy,1 glass,220,250
Paneer (raw),Veg,Dairy,100 g,265,100
Ghee,Veg,Dairy,1 tbsp,120,15
Butter,Veg,Dairy,1 tbsp,100,15
Masala Chai (milk + sugar),Veg,Beverage,1 cup,90,150
Black Tea (no sugar),Veg,Beverage,1 cup,5,150
Filter Coffee (milk + sugar),Veg,Beverage,1 cup,90,150
Black Coffee (no sugar),Veg,Beverage,1 cup,5,150
Nimbu Pani (sweet),Veg,Beverage,1 glass,60,250
Fresh Lime Soda,Veg,Beverage,1 glass,60,250
Coconut Water,Veg,Beverage,1 glass,45,250
Mango Shake,Veg,Beverage,1 glass,250,250
Banana,Veg,Fruit,1 medium,105,120
Apple,Veg,Fruit,1 medium,95,180
Mango,Veg,Fruit,1 medium,150,200
Orange,Veg,Fruit,1 medium,62,130
Papaya,Veg,Fruit,1 cup cubes,60,150
Guava,Veg,Fruit,1 medium,60,100
Grapes,Veg,Fruit,1 cup,100,150
Watermelon,Veg,Fruit,1 cup cubes,46,150
Pomegranate,Veg,Fruit,1 cup arils,130,175
Chikoo,Veg,Fruit,1 medium,80,100
Besan Chilla,Veg,Breakfast,1 chilla,120,60
Moong Dal Chilla,Veg,Breakfast,1 chilla,110,60
Oats Chilla,Veg,Breakfast,1 chilla,130,60
Rava Dosa,Veg,Breakfast,1 dosa,220,110
Neer Dosa,Veg,Breakfast,1 dosa,90,60
Pesarattu,Veg,Breakfast,1 dosa,200,110
Adai Dosa,Veg,Breakfast,1 adai,220,120
Appam,Veg,Breakfast,1 appam,120,60
Idiyappam,Veg,Breakfast,2 pieces,130,130
Puttu,Veg,Breakfast,1 cup,200,150
Pongal,Veg,Breakfast,1 cup,250,150
Ragi Dosa,Veg,Breakfast,1 dosa,150,100
Ragi Idli,Veg,Breakfast,1 idli,70,55
Ragi Porridge (Ragi Malt),Veg,Breakfast,1 cup,150,150
Oats Idli,Veg,Breakfast,2 idlis,120,100
Oats Upma,Veg,Breakfast,1 cup,220,150
Masala Oats,Veg,Breakfast,1 bowl,180,200
Daliya Porridge,Veg,Breakfast,1 bowl,150,200
Vermicelli Upma (Semiya),Veg,Breakfast,1 cup,220,150
Muesli with Milk,Veg,Breakfast,1 bowl,250,200
Multigrain Bread,Veg,Breakfast,1 slice,80,30
French Toast,Non-Veg,Breakfast,1 slice,150,65
Ragi Mudde,Veg,Staple,1 ball,140,100
